imdb_title_id	title	year	genre	director	avg_vote
tt0025555	Nanà	1934	Drama	Dorothy Arzner, George Fitzmaurice	5.9
tt0025580	Rivelazione	1934	Drama, Music, Romance	Henry Hathaway	6.6
tt0025619	Palooka	1934	Comedy, Music	Benjamin Stoloff	6.1
tt0025691	Pyshka	1934	Drama	Mikhail Romm	7.4
tt0025763	Sequoia	1934	Drama	Chester M. Franklin, Edwin L. Marin	6.5
tt0025803	Smarty	1934	Comedy, Romance	Robert Florey	5.9
tt0025898	Toni	1935	Crime, Drama, Romance	Jean Renoir	7.2
tt0025964	Resurrezione	1934	Drama	Rouben Mamoulian	6.4
tt0025983	Vortice	1934	Crime, Drama, Romance	Roy William Neill	6.6
tt0026040	Aerograd	1935	Drama	Aleksandr Dovzhenko	6.1
tt0026069	Anfitrione	1935	Comedy, Fantasy, Musical	Reinhold Schünzel	6.5
tt0026082	Arizona	1935	Adventure, Music, Romance	Charles Vidor	6.8
tt0026191	Brume	1936	Adventure, Drama, Romance	Howard Hawks	6.8
tt0026279	Dinky	1935	Drama	Howard Bretherton, D. Ross Lederman	5.6
tt0026280	Divine	1935	Comedy, Drama	Max Ophüls	6.4
tt0026444	Gubijinsô	1935	Drama	Kenji Mizoguchi	6.5
tt0026542	Jalna	1935	Drama, Romance	John Cromwell	6.0
tt0026683	Marihuana	1936	Crime, Drama	Dwain Esper	4.0
tt0026688	Fuggiasca	1935	Drama	William K. Howard	6.7
tt0026723	Mississippi	1935	Comedy, Musical	A. Edward Sutherland, Wesley Ruggles	6.6
tt0026737	Munkbrogreven	1935	Comedy, Romance	Edvin Adolphson, Sigurd Wallén	5.9
tt0026901	Pursuit	1935	Action, Comedy, Romance	Edwin L. Marin	5.9
tt0026932	Riffraff	1936	Crime, Drama	J. Walter Ruben	6.3
tt0026942	Roberta	1935	Comedy, Musical, Romance	William A. Seiter	7.1
tt0026956	Rumba	1935	Drama, Music, Romance	Marion Gering	5.8
tt0026966	Bozambo	1935	Adventure, Drama, Music	Zoltan Korda, Alfred Hitchcock	5.5
tt0026972	Scrooge	1935	Drama, Family, Fantasy	Henry Edwards	6.6
tt0026982	Shangai	1935	Drama, Romance	James Flood	6.0
tt0027033	Splendore	1935	Comedy, Romance	Elliott Nugent	6.3
tt0027196	Aquile	1935	Drama	Richard Rosson	5.9
tt0027276	Allegria	1936	Comedy	Willi Forst	6.6
tt0027443	Chatterbox	1936	Comedy, Drama, Romance	George Nichols Jr.	6.1
tt0027455	Colleen	1936	Comedy, Musical, Romance	Alfred E. Green	5.9
tt0027459	Ambizione	1936	Drama, Romance	Howard Hawks, William Wyler	6.9
tt0027489	César	1936	Drama	Marcel Pagnol	7.6
tt0027515	Desiderio	1936	Comedy, Crime, Romance	Frank Borzage	7.1
tt0027532	Infedeltà	1936	Drama, Romance	William Wyler	7.8
tt0027607	Fantômas	1932	Crime, Thriller	Pál Fejös	5.8
tt0027652	Furia	1936	Crime, Drama, Film-Noir	Fritz Lang	7.9
tt0027818	Jenny	1936	Drama	Marcel Carné	6.5
tt0027951	Mayerling	1936	Drama, Romance	Anatole Litvak	7.0
tt0028120	Poppy	1936	Comedy	A. Edward Sutherland	6.7
tt0028158	Ramona	1936	Drama, Romance	Henry King	6.1
tt0028212	Sabotaggio	1936	Crime, Thriller	Alfred Hitchcock	7.1
tt0028291	Speed	1936	Action, Drama, Romance	Edwin L. Marin	5.9
tt0028454	Vaimoke	1936	Comedy, Romance	Valentin Vaala	6.5
tt0028505	Gelosia	1936	Comedy, Drama, Romance	Clarence Brown	7.1
tt0028567	Alibi	1937	Mystery	Pierre Chenal	6.8
tt0028575	Angelo	1937	Comedy, Drama, Romance	Ernst Lubitsch	7.3
tt0028622	Bespridannitsa	1937	Drama, Romance	Yakov Protazanov, Aleksandr Rou	6.9
tt0028650	Borderland	1937	Adventure, Mystery, Western	Nate Watt	7.0
tt0028737	Confession	1937	Crime, Drama, Romance	Joe May	7.3
tt0028841	Espionage	1937	Drama	Kurt Neumann	6.2
tt0028852	Fant	1937	Crime, Drama	Tancred Ibsen	6.7
tt0028974	Habanera	1937	Drama	Douglas Sirk	6.1
tt0029030	Uragano	1937	Action, Drama, Romance	John Ford	7.2
tt0029064	Jericho	1937	Drama, Musical, Adventure	Thornton Freeland	6.1
tt0029222	Primavera	1937	Drama, Musical, Romance	Robert Z. Leonard	7.3
tt0029291	Nadare	1937	Drama	Mikio Naruse	6.5
tt0029377	Parnell	1937	Biography, Drama, Romance	John M. Stahl	5.4
tt0029499	Rosalie	1937	Drama, Musical	W.S. Van Dyke	6.1
tt0029516	Saratoga	1937	Drama, Comedy, Romance	Jack Conway	6.5
tt0029588	Hollywood	1937	Comedy, Musical	Victor Schertzinger	6.3
tt0029658	Vendetta	1937	Drama, Film-Noir, Mystery	Mervyn LeRoy	7.2
tt0029685	Tovarich	1937	Comedy	Anatole Litvak	7.0
tt0029790	Adorazione	1937	Drama	Anatole Litvak	6.1
tt0029802	Yoshiwara	1937	Drama, Romance	Max Ophüls	6.4
tt0029927	Blondie	1938	Comedy, Family	Frank R. Strayer	7.0
tt0029971	Girandola	1938	Comedy, Musical, Romance	Mark Sandrich	7.1
tt0030010	Condannate	1938	Drama, Romance	Lew Landers	6.1
tt0030066	Inquietudine	1938	Comedy	Gustaf Molander	5.5
tt0030241	Incantesimo	1938	Comedy, Romance	George Cukor	7.8
tt0030317	Kentucky	1938	Drama, Romance, Sport	David Butler	6.3
tt0030637	Pigmalione	1938	Comedy, Drama, Romance	Anthony Asquith, Leslie Howard	7.7
tt0030642	Quadrille	1938	Comedy, Romance	Sacha Guitry	6.8
tt0030710	Saleslady	1938	Romance, Comedy, Drama	Arthur Greville Collins	5.4
tt0030786	Stablemates	1938	Drama, Sport	Sam Wood	6.9
tt0030811	Suez	1938	Drama, History, Romance	Allan Dwan	6.6
tt0031074	Balalaika	1939	Musical, Romance	Reinhold Schünzel	6.3
tt0031082	Barricade	1939	Adventure, Drama, Romance	Gregory Ratoff	5.7
tt0031177	Conspiracy	1939	Action, Adventure, Drama	Lew Landers	5.5
tt0031210	Tramonto	1939	Drama, Romance	Edmund Goulding	7.5
tt0031359	Gaslight	1940	Mystery, Thriller	Thorold Dickinson	7.3
tt0031377	Passione	1939	Drama, Romance, Sport	Rouben Mamoulian	6.9
tt0031473	Spregiudicati	1939	Comedy, Drama, Musical	Clarence Brown	6.6
tt0031491	Intermezzo	1939	Drama, Romance	Gregory Ratoff	6.7
tt0031608	Maisie	1939	Comedy, Drama	Edwin L. Marin	6.6
tt0031650	Mikado	1939	Musical, Comedy	Victor Schertzinger	6.4
tt0031704	Vendetta	1939	Mystery	William Nigh	6.4
tt0031725	Ninotchka	1939	Comedy, Romance	Ernst Lubitsch	7.9
tt0031919	Shchors	1939	Biography, Drama, War	Aleksandr Dovzhenko, Yuliya Solntseva	6.5
tt0032012	Tevya	1939	Drama	Maurice Schwartz	6.7
tt0032050	Traktoristy	1939	Comedy, Drama, Romance	Ivan Pyrev	6.5
tt0032143	Donne	1939	Comedy, Drama	George Cukor	7.8
tt0032157	Zaza	1938	Drama	George Cukor	6.1
tt0032162	Pinocchio	1939	Family, Fantasy	Aleksandr Ptushko	6.6
tt0032164	Zorro	1939	Action, Adventure, History	John English, William Witney	7.2
tt0032179	Fatalità	1940	Drama	Basil Dean	6.1
tt0032221	Arizona	1940	Western	Wesley Ruggles	6.7
tt0032230	Babicka	1940	Drama, Romance	Frantisek Cáp	6.6
tt0032255	Bismarck	1940	Biography, Drama	Wolfgang Liebeneiner	6.5
tt0032256	Tzigana	1940	Drama, Musical, Romance	W.S. Van Dyke	5.9
tt0032346	Colorado	1940	Action, Comedy, Drama	Joseph Kane	6.0
tt0032356	Contrabbando	1940	Crime, Drama, Romance	Michael Powell	6.9
tt0032422	Dulcy	1940	Adventure, Comedy, Romance	S. Sylvan Simon	6.2
tt0032455	Fantasia	1940	Animation, Family, Fantasy	James Algar, Samuel Armstrong	7.8
tt0032511	Gasbags	1941	Adventure, Comedy	Marcel Varnel	5.6
tt0032551	Furore	1940	Drama, History	John Ford	8.0
tt0032614	Hullabaloo	1940	Comedy, Musical, Romance	Edwin L. Marin	6.0
tt0032638	Irene	1940	Comedy, Musical, Romance	Herbert Wilcox	6.3
tt0032655	Juninatten	1940	Drama	Per Lindberg	6.1
tt0032686	Seduzione	1940	Comedy, Drama, Romance	Charles Vidor	6.4
tt0032766	Maryland	1940	Drama	Henry King	6.0
tt0032779	Eldorado	1940	Music, Romance, Western	Joseph Santley	6.2
tt0032910	Pinocchio	1940	Animation, Comedy, Family	Norman Ferguson, T. Hee	7.4
tt0032963	Raffles	1939	Adventure, Comedy, Crime	Sam Wood, William Wyler	6.3
tt0033088	Spellbound	1941	Drama, Horror	John Harlow	5.8
tt0033118	Suvorov	1941	Biography, Drama, History	Mikhail Doller, Vsevolod Pudovkin	6.8
tt0033153	Wapakoneta	1940	Comedy	Robert Z. Leonard	7.0
tt0033493	Pennsylvania	1942	Drama	Lance Comfort	5.7
tt0033563	Dumbo	1941	Animation, Drama, Family	Samuel Armstrong, Norman Ferguson	7.2
tt0033603	Patrizia	1940	Comedy, Drama	Marcel Pagnol	7.4
tt0033780	Kathleen	1941	Comedy, Drama, Romance	Harold S. Bucquet	6.3
tt0033790	Kipps	1941	Comedy, Drama	Carol Reed	6.6
tt0033795	Knockout	1941	Drama, Romance, Sport	William Clemens	5.7
tt0033802	Tenebre	1941	Crime, Drama, Film-Noir	Charles Vidor	7.0
tt0033858	Lydia	1941	Drama, Romance	Julien Duvivier	6.4
tt0033889	Mechta	1943	Drama	Mikhail Romm	7.2
tt0034033	Playmates	1941	Comedy, Music	David Butler	5.5
tt0034078	Follia	1941	Drama, Thriller	W.S. Van Dyke, Robert B. Sinclair	6.4
tt0034093	Tempesta	1941	Action, Drama, Romance	Jean Grémillon	7.2
tt0034198	Skylark	1941	Comedy, Romance	Mark Sandrich	6.2
tt0034243	Sunny	1941	Musical	Herbert Wilcox	5.8
tt0034269	Texas	1941	Western	George Marshall	6.7
tt0034333	Uma	1941	Drama	Kajirô Yamamoto, Akira Kurosawa	5.9
tt0034337	Underground	1941	Adventure, Drama, Romance	Vincent Sherman	7.2
tt0034492	Bambi	1942	Animation, Drama, Family	James Algar, Samuel Armstrong	7.3
tt0034514	Dedizione	1942	Drama, Music, Romance	Irving Reis	6.5
tt0034583	Casablanca	1942	Drama, Romance, War	Michael Curtiz	8.5
tt0034730	Fiesta	1941	Comedy, Music, Romance	LeRoy Prinz	5.0
tt0034934	Katyi	1942	Comedy, Musical	Ákos Ráthonyi	7.3
tt0035021	Malombra	1942	Drama, Mystery, Thriller	Mario Soldati	7.0
tt0035034	Fulminati	1941	Comedy, Drama	Raoul Walsh	6.7
tt0035044	Mashenka	1942	Drama, Romance, War	Yuli Raizman	7.4
tt0035074	Mokey	1942	Drama	Wells Root	5.3
tt0035127	Incubo	1942	Crime, Drama, Film-Noir	Tim Whelan	6.4
